Run,Bases,population,Super_Population_Code,HapMap_sample_ID,BAM
ERR243845,241364400,CEU,EUR,NA07056,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243845/9378_4%231.bam
ERR243530,250603000,CEU,EUR,NA07056,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243530/9358_4%231.bam
ERR243856,346372000,CEU,EUR,NA07357,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243856/9378_4%2312.bam
ERR243857,300045000,CEU,EUR,NA10851,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243857/9378_4%2313.bam
ERR243854,329179800,CEU,EUR,NA11892,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243854/9378_4%2310.bam
ERR243846,264251200,CEU,EUR,NA11893,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243846/9378_4%232.bam
ERR243531,275389800,CEU,EUR,NA11893,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243531/9358_4%232.bam
ERR243862,312206400,CEU,EUR,NA11894,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243862/9378_4%2318.bam
ERR243863,302460600,CEU,EUR,NA11931,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243863/9378_4%2319.bam
ERR243864,295698200,CEU,EUR,NA12043,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243864/9378_4%2320.bam
ERR243858,286927800,CEU,EUR,NA12144,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243858/9378_4%2314.bam
ERR243865,288619400,CEU,EUR,NA12287,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243865/9378_4%2321.bam
ERR243859,263207200,CEU,EUR,NA12749,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243859/9378_4%2315.bam
ERR243544,274405600,CEU,EUR,NA12749,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243544/9358_4%2315.bam
ERR243860,319008000,CEU,EUR,NA12776,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243860/9378_4%2316.bam
ERR243861,301763800,CEU,EUR,NA12828,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR243/ERR243861/9378_4%2317.bam
ERR240507,287319800,CHB,EAS,NA18614,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR240/ERR240507/9378_4%2323.bam
ERR240506,290963600,CHB,EAS,NA18625,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR240/ERR240506/9378_4%2322.bam
ERR240509,337960800,CHB,EAS,NA18627,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR240/ERR240509/9378_4%2325.bam
ERR240295,338900000,JPT,EAS,NA18940,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR240/ERR240295/9378_4%2342.bam
ERR240305,319601600,JPT,EAS,NA18941,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR240/ERR240305/9378_4%2352.bam
ERR240292,286503000,JPT,EAS,NA18942,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR240/ERR240292/9378_4%2339.bam
ERR239754,261617400,LWK,AFR,NA19437,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR239754/9378_4%2353.bam
ERR239755,285235600,LWK,AFR,NA19439,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR239755/9378_4%2354.bam
ERR239756,269159400,LWK,AFR,NA19446,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR239/ERR239756/9378_4%2355.bam
ERR242804,306441200,TSI,EUR,NA20508,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR242/ERR242804/9378_4%2376.bam
ERR242805,303091200,TSI,EUR,NA20509,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR242/ERR242805/9378_4%2377.bam
ERR242806,275789600,TSI,EUR,NA20510,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR242/ERR242806/9378_4%2378.bam
